iter,current_best,gbest_value
318,101.9053564870,97.2072517277
319,120.4173656526,97.2072517277
320,123.1424354043,97.2072517277
321,109.5733768328,97.2072517277
322,119.1665209574,97.2072517277
323,121.0556091235,97.2072517277
324,99.8389791697,97.2072517277
325,99.3362655185,97.2072517277
326,107.5136409317,97.2072517277
327,104.1315053198,97.2072517277
328,96.4064087241,96.4064087241
329,107.0860837130,96.4064087241
330,96.4278535474,96.4064087241
331,99.3156113075,96.4064087241
332,96.2501600725,96.2501600725
333,101.2686627430,96.2501600725
334,92.1429158550,92.1429158550
335,88.9199951821,88.9199951821
336,88.9513718198,88.9199951821
337,87.8148445025,87.8148445025
338,89.3408641242,87.8148445025
339,89.7739371817,87.8148445025
340,89.6753840770,87.8148445025
341,88.7090895263,87.8148445025
342,91.4584247932,87.8148445025
343,99.8899598815,87.8148445025
344,89.4605322188,87.8148445025
345,91.4962448350,87.8148445025
346,87.3674614509,87.3674614509
347,90.9924665813,87.3674614509
348,89.2267499294,87.3674614509
349,87.6780313256,87.3674614509
350,88.6822296102,87.3674614509
351,87.2926140573,87.2926140573
352,90.9199815207,87.2926140573
353,88.5316077066,87.2926140573
354,90.7849351986,87.2926140573
355,89.2810700202,87.2926140573
356,96.7678827746,87.2926140573
357,90.0838977871,87.2926140573
358,85.4505851097,85.4505851097
359,87.4678618464,85.4505851097
360,87.9820748502,85.4505851097
361,91.2882746676,85.4505851097
362,85.1768052425,85.1768052425
363,89.1982294810,85.1768052425
364,86.1934668625,85.1768052425
365,84.6191375752,84.6191375752
366,104.7661428404,84.6191375752
367,87.6722945978,84.6191375752
368,84.3643743283,84.3643743283
369,96.9575659394,84.3643743283
370,88.5778718633,84.3643743283
371,84.8684809724,84.3643743283
372,84.6686769813,84.3643743283
373,90.2976684233,84.3643743283
374,74.8324163123,74.8324163123
375,92.8890786437,74.8324163123
376,76.4984438704,74.8324163123
377,68.2635801079,68.2635801079
378,80.7795075493,68.2635801079
379,67.2963551527,67.2963551527
380,79.9698416458,67.2963551527
381,79.4891819798,67.2963551527
382,93.1631442836,67.2963551527
383,91.1624750987,67.2963551527
384,83.4419587846,67.2963551527
385,102.2597925233,67.2963551527
386,84.5768572840,67.2963551527
387,85.2961046137,67.2963551527
388,86.7915042486,67.2963551527
389,72.0197093412,67.2963551527
390,72.9880837357,67.2963551527
391,69.3887352059,67.2963551527
392,66.7878896029,66.7878896029
393,77.7263518310,66.7878896029
394,59.7360480925,59.7360480925
395,70.6124640127,59.7360480925
396,63.7459472468,59.7360480925
397,71.5114072605,59.7360480925
398,79.2973351947,59.7360480925
399,71.7946175847,59.7360480925
400,71.3372894716,59.7360480925
401,65.3179002037,59.7360480925
402,61.7135607563,59.7360480925
403,69.5585324744,59.7360480925
404,59.6149018894,59.6149018894
405,69.6070679828,59.6149018894
406,65.9348167882,59.6149018894
407,67.7172451022,59.6149018894
408,62.3864439200,59.6149018894
409,63.6506398434,59.6149018894
410,63.2372621786,59.6149018894
411,64.6952357138,59.6149018894
412,63.2497800036,59.6149018894
413,63.4002175566,59.6149018894
414,64.5533329215,59.6149018894
415,62.1937297612,59.6149018894
416,71.9777659785,59.6149018894
417,58.8449689426,58.8449689426
418,66.2211535432,58.8449689426
419,60.1556832995,58.8449689426
420,61.8536948918,58.8449689426
421,60.6975308574,58.8449689426
422,60.2479846927,58.8449689426
423,59.4005115166,58.8449689426
424,64.3862597866,58.8449689426
425,61.2790514913,58.8449689426
426,63.0516936187,58.8449689426
427,59.4076330171,58.8449689426
428,60.2988072945,58.8449689426
429,59.4149547582,58.8449689426
430,56.0556872932,56.0556872932
431,63.6921344309,56.0556872932
432,56.3902048933,56.0556872932
433,55.6861508798,55.6861508798
434,58.0004276207,55.6861508798
435,61.5017999281,55.6861508798
436,56.5068054395,55.6861508798
437,54.6042746197,54.6042746197
438,50.8603854489,50.8603854489
439,58.2493854017,50.8603854489
440,54.8155485477,50.8603854489
441,55.1161754797,50.8603854489
442,51.7119933400,50.8603854489
443,52.0793610917,50.8603854489
444,49.9712045520,49.9712045520
445,54.6109169403,49.9712045520
446,51.5108954649,49.9712045520
447,51.6392411351,49.9712045520
