cognome,nome_original,url_original
img_26,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTglNUQlN0IzOTQlN0RjYXBfM18tX2ZpZ18yXy1fbGV0cmFfZV8tX2J1cXVlc19tYWR1cm9fZGVfY29ydXBhXy1fYXV0b3JpYV9lbGlzZXVfZW1hbm9lbF9kb3Nfc2FudG9zLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18358%5D%7B394%7Dcap_3_-_fig_2_-_letra_e_-_buques_maduro_de_corupa_-_autoria_eliseu_emanoel_dos_santos.jpg
img_27,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTIlNUQlN0I1NDklN0RjYXBfM18tX2ZpZ18xXy1fbGV0cmFfZl8tX2J1cXVlX21hZHVyb19wcmF0YV9hbmFfLV9hdXRvcmlhX2VsaXNldV9lbWFub2VsX2Rvc19zYW50b3MuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18352%5D%7B549%7Dcap_3_-_fig_1_-_letra_f_-_buque_maduro_prata_ana_-_autoria_eliseu_emanoel_dos_santos.jpg
img_28,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTklNUQlN0I0MiU3RGNhcF8zXy1fZmlnXzNfLV9sZXRyYV9lXy1fYnVxdWVfbWFkdXJvX2ZpZ29fY2luemFfLV9hdXRvcmlhX2VsaXNldV9lbWFub2VsX2Rvc19zYW50b3MuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18359%5D%7B42%7Dcap_3_-_fig_3_-_letra_e_-_buque_maduro_figo_cinza_-_autoria_eliseu_emanoel_dos_santos.jpg
img_29,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTMlNUQlN0IxMTYlN0RjYXBfM18tX2ZpZ18xXy1fbGV0cmFfaF8tX2J1cXVlc19tYWR1cm9fY2Fydm9laXJhXy1fYXV0b3JpYV9lbGlzZXVfZW1hbm9lbF9kb3Nfc2FudG9zLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18353%5D%7B116%7Dcap_3_-_fig_1_-_letra_h_-_buques_maduro_carvoeira_-_autoria_eliseu_emanoel_dos_santos.jpg
img_30,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTQlNUQlN0IxMDclN0RjYXBfM18tX2ZpZ18xXy1fbGV0cmFfaV8tX2J1cXVlc19tYWR1cm9fbm9uaW5oYV8tX2F1dG9yaWFfZWxpc2V1X2VtYW5vZWxfZG9zX3NhbnRvcy5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18354%5D%7B107%7Dcap_3_-_fig_1_-_letra_i_-_buques_maduro_noninha_-_autoria_eliseu_emanoel_dos_santos.jpg
img_31,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTUlNUQlN0I5NSU3RGJyYW5jYS5wbmc=.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18355%5D%7B95%7Dbranca.png
img_32,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNTYlNUQlN0IzNTIlN0RjYXBfM18tX2ZpZ18yXy1fbGV0cmFfZF8tX2J1cXVlc19tYWR1cm9fZGVfZ3JhbmRlX25haW5lXy1fYXV0b3JpYV9lbGlzZXVfZW1hbm9lbF9kb3Nfc2FudG9zLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18356%5D%7B352%7Dcap_3_-_fig_2_-_letra_d_-_buques_maduro_de_grande_naine_-_autoria_eliseu_emanoel_dos_santos.jpg
img_33,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzAlNUQlN0IxMjMlN0RjYXBfM18tX2ZpZ180Xy1fbGV0cmFfZV8tX2J1cXVlX21hZHVyb19vdXJvXy1fYXV0b3JpYV9lbGlzZXVfZW1hbm9lbF9kb3Nfc2FudG9zLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18370%5D%7B123%7Dcap_3_-_fig_4_-_letra_e_-_buque_maduro_ouro_-_autoria_eliseu_emanoel_dos_santos.jpg
img_34,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzclNUQlN0IxNDklN0Rwb2RhX2RlX3BlbmNhXzEuanBn.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18377%5D%7B149%7Dpoda_de_penca_1.jpg
img_35,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzglNUQlN0I1NDMlN0RlbnNhY2FtZW50by5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18378%5D%7B543%7Densacamento.jpg
img_36,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzklNUQlN0IzODglN0RkZXN2aW9fZGVfcGVyZmlsaG9zLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18379%5D%7B388%7Ddesvio_de_perfilhos.jpg
img_37,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzMlNUQlN0IyMTUlN0RwZXJmaWxob3NfMS5wbmc=.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18373%5D%7B215%7Dperfilhos_1.png
img_38,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzQlNUQlN0IyNTUlN0QyMDE0LTAyLTE0XzEwLjIyLjEyLmpwZw==.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18374%5D%7B255%7D2014-02-14_10.22.12.jpg
img_39,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzUlNUQlN0IxNzElN0Rlc2NvcmFtZW50by5wbmc=.png,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18375%5D%7B171%7Descoramento.png
img_40,aHR0cDovL2ludHJhbmV0ZG9jLmVwYWdyaS5zYy5nb3YuYnIvc2VkaW1vYi9pbWdfZWxlbWVudG8vJTVCMTgzNzYlNUQlN0I1OCU3RHBvZGFfY29yYWNhby5qcGc=.jpg,http://intranetdoc.epagri.sc.gov.br/sedimob/img_elemento/%5B18376%5D%7B58%7Dpoda_coracao.jpg
