Timestamp,Run,Generation,BestFitness,AvgFitness,Best_ST,Best_LX,Best_Profit
2025-10-05 19:27:05,8,13,0.735294,0.608578,24,7,1000.00
2025-10-05 19:27:05,8,14,0.735294,0.603922,24,7,1000.00
2025-10-05 19:27:05,8,15,0.735294,0.593873,24,7,1000.00
2025-10-05 19:27:05,8,16,0.735294,0.568382,24,7,1000.00
2025-10-05 19:27:05,8,17,0.735294,0.598775,24,7,1000.00
2025-10-05 19:27:05,8,18,0.735294,0.605637,24,7,1000.00
2025-10-05 19:27:05,8,19,0.735294,0.617034,24,7,1000.00
2025-10-05 19:27:05,9,0,0.720588,0.505270,22,8,980.00
2025-10-05 19:27:05,9,1,0.720588,0.498284,22,8,980.00
2025-10-05 19:27:05,9,2,0.720588,0.515809,22,8,980.00
2025-10-05 19:27:05,9,3,0.720588,0.524142,22,8,980.00
2025-10-05 19:27:05,9,4,0.742647,0.530760,23,8,1010.00
2025-10-05 19:27:05,9,5,0.750000,0.545221,22,9,1020.00
2025-10-05 19:27:05,9,6,0.750000,0.532843,22,9,1020.00
2025-10-05 19:27:05,9,7,0.750000,0.503186,22,9,1020.00
2025-10-05 19:27:05,9,8,0.750000,0.550980,22,9,1020.00
2025-10-05 19:27:05,9,9,0.750000,0.577941,22,9,1020.00
2025-10-05 19:27:05,9,10,0.750000,0.538113,22,9,1020.00
2025-10-05 19:27:05,9,11,0.750000,0.548284,22,9,1020.00
2025-10-05 19:27:05,9,12,0.750000,0.544240,22,9,1020.00
2025-10-05 19:27:05,9,13,0.750000,0.574510,22,9,1020.00
2025-10-05 19:27:05,9,14,0.750000,0.584191,22,9,1020.00
2025-10-05 19:27:05,9,15,0.750000,0.593015,22,9,1020.00
2025-10-05 19:27:05,9,16,0.750000,0.589828,22,9,1020.00
2025-10-05 19:27:05,9,17,0.750000,0.521814,22,9,1020.00
2025-10-05 19:27:05,9,18,0.750000,0.537990,22,9,1020.00
2025-10-05 19:27:05,9,19,0.750000,0.554657,22,9,1020.00
2025-10-05 19:27:05,10,0,0.683824,0.409436,19,9,930.00
2025-10-05 19:27:05,10,1,0.694853,0.445466,21,10,1030.00
2025-10-05 19:27:05,10,2,0.750000,0.441299,22,9,1020.00
2025-10-05 19:27:05,10,3,0.764706,0.525123,24,8,1040.00
2025-10-05 19:27:05,10,4,0.764706,0.596201,24,8,1040.00
2025-10-05 19:27:05,10,5,0.764706,0.578431,24,8,1040.00
2025-10-05 19:27:05,10,6,0.764706,0.571078,24,8,1040.00
2025-10-05 19:27:05,10,7,0.764706,0.546078,24,8,1040.00
2025-10-05 19:27:05,10,8,0.764706,0.527696,24,8,1040.00
2025-10-05 19:27:05,10,9,0.764706,0.569853,24,8,1040.00
2025-10-05 19:27:05,10,10,0.764706,0.532108,24,8,1040.00
2025-10-05 19:27:05,10,11,0.764706,0.564461,24,8,1040.00
2025-10-05 19:27:05,10,12,0.764706,0.575858,24,8,1040.00
2025-10-05 19:27:05,10,13,0.764706,0.610784,24,8,1040.00
2025-10-05 19:27:05,10,14,0.764706,0.591544,24,8,1040.00
2025-10-05 19:27:05,10,15,0.764706,0.578676,24,8,1040.00
2025-10-05 19:27:05,10,16,0.764706,0.609069,24,8,1040.00
2025-10-05 19:27:05,10,17,0.764706,0.642034,24,8,1040.00
2025-10-05 19:27:05,10,18,0.764706,0.635417,24,8,1040.00
2025-10-05 19:27:05,10,19,0.764706,0.656495,24,8,1040.00
2025-10-05 19:27:05,11,0,0.691176,0.432230,22,7,940.00
2025-10-05 19:27:05,11,1,0.764706,0.461887,24,8,1040.00
2025-10-05 19:27:05,11,2,0.764706,0.495343,24,8,1040.00
2025-10-05 19:27:05,11,3,0.764706,0.558701,24,8,1040.00
2025-10-05 19:27:05,11,4,0.764706,0.554779,24,8,1040.00
2025-10-05 19:27:05,11,5,0.764706,0.546324,24,8,1040.00
2025-10-05 19:27:05,11,6,0.764706,0.578799,24,8,1040.00
2025-10-05 19:27:05,11,7,0.764706,0.508946,24,8,1040.00
2025-10-05 19:27:05,11,8,0.764706,0.506985,24,8,1040.00
2025-10-05 19:27:05,11,9,0.764706,0.485172,24,8,1040.00
2025-10-05 19:27:05,11,10,0.764706,0.498529,24,8,1040.00
2025-10-05 19:27:05,11,11,0.764706,0.542770,24,8,1040.00
2025-10-05 19:27:05,11,12,0.764706,0.572917,24,8,1040.00
2025-10-05 19:27:05,11,13,0.764706,0.544240,24,8,1040.00
2025-10-05 19:27:05,11,14,0.764706,0.570466,24,8,1040.00
2025-10-05 19:27:05,11,15,0.764706,0.535049,24,8,1040.00
2025-10-05 19:27:05,11,16,0.764706,0.566667,24,8,1040.00
2025-10-05 19:27:05,11,17,0.764706,0.540686,24,8,1040.00
2025-10-05 19:27:05,11,18,0.764706,0.557843,24,8,1040.00
2025-10-05 19:27:05,11,19,0.764706,0.536887,24,8,1040.00
2025-10-05 19:27:05,12,0,0.705882,0.410294,20,9,960.00
2025-10-05 19:27:05,12,1,0.705882,0.448897,20,9,960.00
2025-10-05 19:27:05,12,2,0.705882,0.534191,20,9,960.00
2025-10-05 19:27:05,12,3,0.705882,0.562010,20,9,960.00
2025-10-05 19:27:05,12,4,0.720588,0.476471,22,8,980.00
2025-10-05 19:27:05,12,5,0.750000,0.564828,22,9,1020.00
2025-10-05 19:27:05,12,6,0.750000,0.533946,22,9,1020.00
2025-10-05 19:27:05,12,7,0.750000,0.508701,22,9,1020.00
2025-10-05 19:27:05,12,8,0.750000,0.511765,22,9,1020.00
2025-10-05 19:27:05,12,9,0.750000,0.504657,22,9,1020.00
2025-10-05 19:27:05,12,10,0.750000,0.542279,22,9,1020.00
2025-10-05 19:27:05,12,11,0.750000,0.521569,22,9,1020.00
2025-10-05 19:27:05,12,12,0.750000,0.549877,22,9,1020.00
2025-10-05 19:27:05,12,13,0.750000,0.594118,22,9,1020.00
2025-10-05 19:27:05,12,14,0.750000,0.589461,22,9,1020.00
2025-10-05 19:27:05,12,15,0.750000,0.540441,22,9,1020.00
2025-10-05 19:27:05,12,16,0.750000,0.552328,22,9,1020.00
2025-10-05 19:27:05,12,17,0.750000,0.541054,22,9,1020.00
2025-10-05 19:27:05,12,18,0.764706,0.560539,24,8,1040.00
2025-10-05 19:27:05,12,19,0.764706,0.579412,24,8,1040.00
2025-10-05 19:27:05,13,0,0.705882,0.451225,16,12,960.00
2025-10-05 19:27:05,13,1,0.764706,0.509681,24,8,1040.00
2025-10-05 19:27:05,13,2,0.764706,0.571078,24,8,1040.00
2025-10-05 19:27:05,13,3,0.764706,0.579289,24,8,1040.00
2025-10-05 19:27:05,13,4,0.764706,0.564706,24,8,1040.00
2025-10-05 19:27:05,13,5,0.764706,0.538603,24,8,1040.00
2025-10-05 19:27:05,13,6,0.764706,0.599510,24,8,1040.00
2025-10-05 19:27:05,13,7,0.764706,0.592034,24,8,1040.00
2025-10-05 19:27:05,13,8,0.764706,0.597059,24,8,1040.00
2025-10-05 19:27:05,13,9,0.764706,0.574632,24,8,1040.00
2025-10-05 19:27:05,13,10,0.764706,0.580147,24,8,1040.00
2025-10-05 19:27:05,13,11,0.764706,0.599510,24,8,1040.00
2025-10-05 19:27:05,13,12,0.764706,0.604902,24,8,1040.00
2025-10-05 19:27:05,13,13,0.764706,0.585784,24,8,1040.00
2025-10-05 19:27:05,13,14,0.764706,0.590074,24,8,1040.00
2025-10-05 19:27:05,13,15,0.764706,0.608456,24,8,1040.00
2025-10-05 19:27:05,13,16,0.764706,0.599632,24,8,1040.00
2025-10-05 19:27:05,13,17,0.764706,0.599510,24,8,1040.00
2025-10-05 19:27:05,13,18,0.764706,0.580637,24,8,1040.00
2025-10-05 19:27:05,13,19,0.764706,0.600980,24,8,1040.00
2025-10-05 19:27:05,14,0,0.713235,0.408333,19,10,970.00
2025-10-05 19:27:05,14,1,0.735294,0.531618,20,10,1000.00
2025-10-05 19:27:05,14,2,0.735294,0.534804,20,10,1000.00
2025-10-05 19:27:05,14,3,0.735294,0.548039,20,10,1000.00
2025-10-05 19:27:05,14,4,0.735294,0.538358,20,10,1000.00
2025-10-05 19:27:05,14,5,0.735294,0.540931,20,10,1000.00
2025-10-05 19:27:05,14,6,0.735294,0.549142,20,10,1000.00
2025-10-05 19:27:05,14,7,0.735294,0.583824,20,10,1000.00
2025-10-05 19:27:05,14,8,0.735294,0.580760,20,10,1000.00
2025-10-05 19:27:05,14,9,0.742647,0.576348,23,8,1010.00
2025-10-05 19:27:05,14,10,0.742647,0.596446,23,8,1010.00
2025-10-05 19:27:05,14,11,0.742647,0.584559,23,8,1010.00
2025-10-05 19:27:05,14,12,0.742647,0.555025,23,8,1010.00
2025-10-05 19:27:05,14,13,0.742647,0.541176,23,8,1010.00
2025-10-05 19:27:05,14,14,0.742647,0.563725,23,8,1010.00
2025-10-05 19:27:05,14,15,0.742647,0.534681,23,8,1010.00
2025-10-05 19:27:05,14,16,0.764706,0.586029,24,8,1040.00
2025-10-05 19:27:05,14,17,0.764706,0.559681,24,8,1040.00
2025-10-05 19:27:05,14,18,0.764706,0.580760,24,8,1040.00
2025-10-05 19:27:05,14,19,0.764706,0.525368,24,8,1040.00
2025-10-05 19:27:05,15,0,0.750000,0.436765,22,9,1020.00
2025-10-05 19:27:05,15,1,0.750000,0.495343,22,9,1020.00
2025-10-05 19:27:05,15,2,0.750000,0.531495,22,9,1020.00
2025-10-05 19:27:05,15,3,0.764706,0.564093,24,8,1040.00
2025-10-05 19:27:05,15,4,0.764706,0.550000,24,8,1040.00
2025-10-05 19:27:05,15,5,0.764706,0.567647,24,8,1040.00
2025-10-05 19:27:05,15,6,0.764706,0.533701,24,8,1040.00
2025-10-05 19:27:05,15,7,0.764706,0.604289,24,8,1040.00
2025-10-05 19:27:05,15,8,0.764706,0.578064,24,8,1040.00
2025-10-05 19:27:05,15,9,0.764706,0.578676,24,8,1040.00
2025-10-05 19:27:05,15,10,0.764706,0.545221,24,8,1040.00
2025-10-05 19:27:05,15,11,0.764706,0.538971,24,8,1040.00
2025-10-05 19:27:05,15,12,0.764706,0.568137,24,8,1040.00
2025-10-05 19:27:05,15,13,0.764706,0.523897,24,8,1040.00
2025-10-05 19:27:05,15,14,0.764706,0.583824,24,8,1040.00
2025-10-05 19:27:05,15,15,0.764706,0.606373,24,8,1040.00
2025-10-05 19:27:05,15,16,0.764706,0.575858,24,8,1040.00
2025-10-05 19:27:05,15,17,0.764706,0.530392,24,8,1040.00
2025-10-05 19:27:05,15,18,0.764706,0.561520,24,8,1040.00
2025-10-05 19:27:05,15,19,0.764706,0.593260,24,8,1040.00
2025-10-05 19:27:05,16,0,0.720588,0.452451,18,11,980.00
2025-10-05 19:27:05,16,1,0.720588,0.513971,18,11,980.00
2025-10-05 19:27:05,16,2,0.720588,0.502941,18,11,980.00
2025-10-05 19:27:05,16,3,0.735294,0.497794,20,10,1000.00
2025-10-05 19:27:05,16,4,0.735294,0.530515,20,10,1000.00
2025-10-05 19:27:05,16,5,0.735294,0.549632,20,10,1000.00
2025-10-05 19:27:05,16,6,0.735294,0.546078,20,10,1000.00
2025-10-05 19:27:05,16,7,0.735294,0.501103,20,10,1000.00
2025-10-05 19:27:05,16,8,0.735294,0.501225,20,10,1000.00
2025-10-05 19:27:05,16,9,0.735294,0.519730,20,10,1000.00
2025-10-05 19:27:05,16,10,0.735294,0.535662,20,10,1000.00
2025-10-05 19:27:05,16,11,0.735294,0.512868,20,10,1000.00
2025-10-05 19:27:05,16,12,0.735294,0.537500,20,10,1000.00
2025-10-05 19:27:05,16,13,0.735294,0.557475,20,10,1000.00
2025-10-05 19:27:05,16,14,0.735294,0.593627,20,10,1000.00
2025-10-05 19:27:05,16,15,0.742647,0.548529,23,8,1010.00
2025-10-05 19:27:05,16,16,0.764706,0.593627,24,8,1040.00
2025-10-05 19:27:05,16,17,0.764706,0.565074,24,8,1040.00
2025-10-05 19:27:05,16,18,0.764706,0.551961,24,8,1040.00
2025-10-05 19:27:05,16,19,0.764706,0.540319,24,8,1040.00
2025-10-05 19:27:05,17,0,0.709559,0.438848,23,9,1050.00
2025-10-05 19:27:05,17,1,0.713235,0.497794,19,10,970.00
2025-10-05 19:27:05,17,2,0.735294,0.520711,24,7,1000.00
2025-10-05 19:27:05,17,3,0.735294,0.545098,24,7,1000.00
2025-10-05 19:27:05,17,4,0.750000,0.547917,22,9,1020.00
